images,z,x
03_09_2020_1\output_0025\0000039_z01_x06.jpg,1,6
03_06_2020_0\output_0004\0000308_z00_x06.jpg,0,6
03_12_2020_0\output_0006\0000555_z07_x06.jpg,7,6
03_10_2020_1\output_0010\0000364_z00_x06.jpg,0,6
03_13_2020_1\output_0011\0000212_z02_x07.jpg,2,7
03_13_2020_1\output_0004\0000158_z03_x06.jpg,3,6
03_09_2020_1\output_0037\0000713_z01_x07.jpg,1,7
03_10_2020_1\output_0011\0000016_z03_x06.jpg,3,6
03_06_2020_0\output_0008\0001437_z05_x07.jpg,5,7
03_13_2020_0\output_0004\0000512_z05_x06.jpg,5,6
03_09_2020_1\output_0030\0000763_z05_x06.jpg,5,6
03_13_2020_1\output_0009\0000808_z03_x06.jpg,3,6
03_09_2020_1\output_0013\0000588_z05_x07.jpg,5,7
03_16_2020_0\output_0001\0000493_z07_x07.jpg,7,7
03_13_2020_1\output_0008\0000619_z05_x07.jpg,5,7
03_09_2020_1\output_0030\0000362_z03_x07.jpg,3,7
03_09_2020_1\output_0040\0000628_z02_x07.jpg,2,7
03_06_2020_0\output_0002\0000960_z05_x07.jpg,5,7
03_13_2020_0\output_0007\0000125_z05_x07.jpg,5,7
03_12_2020_0\output_0012\0001094_z07_x06.jpg,7,6
03_06_2020_0\output_0010\0000165_z08_x06.jpg,8,6
03_09_2020_1\output_0024\0000583_z01_x07.jpg,1,7
03_13_2020_1\output_0009\0000780_z02_x07.jpg,2,7
03_09_2020_1\output_0020\0000350_z00_x06.jpg,0,6
03_10_2020_1\output_0010\0000610_z02_x06.jpg,2,6
03_16_2020_0\output_0006\0000173_z05_x07.jpg,5,7
03_06_2020_0\output_0008\0001341_z04_x07.jpg,4,7
03_13_2020_1\output_0006\0000659_z02_x06.jpg,2,6
03_12_2020_0\output_0006\0000280_z08_x07.jpg,8,7
03_10_2020_1\output_0012\0000859_z02_x06.jpg,2,6
03_13_2020_0\output_0004\0000214_z06_x06.jpg,6,6
03_12_2020_0\output_0010\0001021_z08_x07.jpg,8,7
03_09_2020_1\output_0032\0000509_z05_x06.jpg,5,6
03_09_2020_1\output_0042\0000103_z03_x06.jpg,3,6
03_09_2020_1\output_0043\0000154_z04_x06.jpg,4,6
03_10_2020_1\output_0004\0000039_z02_x06.jpg,2,6
03_10_2020_1\output_0000\0000415_z05_x06.jpg,5,6
03_10_2020_1\output_0002\0000283_z05_x06.jpg,5,6
03_12_2020_0\output_0001\0001088_z08_x06.jpg,8,6
03_06_2020_0\output_0010\0000546_z06_x07.jpg,6,7
03_13_2020_1\output_0011\0000299_z04_x06.jpg,4,6
03_12_2020_0\output_0012\0001072_z07_x06.jpg,7,6
03_09_2020_1\output_0033\0000127_z02_x06.jpg,2,6
03_12_2020_0\output_0004\0000836_z05_x07.jpg,5,7
03_13_2020_1\output_0006\0000313_z05_x06.jpg,5,6
03_13_2020_1\output_0003\0000141_z02_x06.jpg,2,6
03_12_2020_0\output_0009\0000823_z08_x07.jpg,8,7
JetBot\2021-10-08-20-32\0000216_z05_x06.jpg,5,6
03_16_2020_0\output_0003\0000061_z06_x06.jpg,6,6
03_13_2020_1\output_0001\0000283_z04_x06.jpg,4,6
03_09_2020_1\output_0015\0000300_z05_x07.jpg,5,7
03_13_2020_0\output_0006\0000358_z07_x07.jpg,7,7
03_13_2020_0\output_0004\0000281_z07_x07.jpg,7,7
03_06_2020_0\output_0005\0000541_z09_x07.jpg,9,7
03_16_2020_0\output_0003\0000234_z07_x06.jpg,7,6
03_12_2020_0\output_0012\0000850_z05_x07.jpg,5,7
03_12_2020_0\output_0003\0000995_z05_x07.jpg,5,7
03_16_2020_0\output_0003\0000618_z07_x07.jpg,7,7
JetBot\2021-10-08-20-32\0001639_z08_x06.jpg,8,6
JetBot\2021-10-08-20-32\0000556_z05_x07.jpg,5,7
03_13_2020_1\output_0006\0000026_z04_x06.jpg,4,6
03_12_2020_0\output_0011\0000221_z06_x07.jpg,6,7
03_09_2020_1\output_0034\0000107_z04_x06.jpg,4,6
JetBot\2021-10-08-20-32\0001923_z03_x07.jpg,3,7
03_06_2020_0\output_0003\0001244_z05_x07.jpg,5,7
03_09_2020_1\output_0032\0000350_z02_x07.jpg,2,7
03_12_2020_0\output_0002\0000218_z05_x07.jpg,5,7
03_06_2020_0\output_0004\0000678_z00_x06.jpg,0,6
03_06_2020_0\output_0003\0001567_z10_x06.jpg,10,6
03_10_2020_1\output_0012\0000944_z04_x06.jpg,4,6
03_09_2020_1\output_0020\0000299_z05_x06.jpg,5,6
03_13_2020_0\output_0001\0000309_z08_x07.jpg,8,7
03_06_2020_0\output_0007\0000151_z06_x06.jpg,6,6
03_13_2020_1\output_0013\0000433_z02_x07.jpg,2,7
03_13_2020_1\output_0001\0000493_z04_x07.jpg,4,7
03_09_2020_1\output_0031\0000755_z01_x07.jpg,1,7
03_10_2020_1\output_0010\0000589_z05_x06.jpg,5,6
03_09_2020_1\output_0025\0000307_z01_x07.jpg,1,7
03_06_2020_0\output_0008\0000101_z05_x06.jpg,5,6
03_09_2020_1\output_0035\0000175_z05_x07.jpg,5,7
03_06_2020_0\output_0010\0001361_z10_x07.jpg,10,7
03_09_2020_1\output_0014\0000275_z05_x07.jpg,5,7
03_09_2020_1\output_0038\0000530_z00_x07.jpg,0,7
03_09_2020_1\output_0019\0000489_z02_x07.jpg,2,7
03_06_2020_0\output_0004\0000466_z01_x06.jpg,1,6
03_12_2020_0\output_0002\0000455_z10_x07.jpg,10,7
03_12_2020_0\output_0002\0000118_z07_x06.jpg,7,6
03_09_2020_1\output_0016\0000569_z05_x06.jpg,5,6
03_09_2020_1\output_0016\0000543_z01_x06.jpg,1,6
03_09_2020_1\output_0019\0000363_z04_x07.jpg,4,7
03_09_2020_1\output_0032\0000430_z05_x07.jpg,5,7
03_09_2020_1\output_0016\0000251_z05_x07.jpg,5,7
03_13_2020_1\output_0012\0000450_z01_x06.jpg,1,6
03_13_2020_1\output_0013\0000617_z02_x07.jpg,2,7
03_09_2020_1\output_0041\0000724_z04_x06.jpg,4,6
03_16_2020_0\output_0004\0000024_z07_x07.jpg,7,7
03_10_2020_1\output_0014\0000561_z01_x06.jpg,1,6
03_13_2020_0\output_0006\0000427_z07_x07.jpg,7,7
03_13_2020_1\output_0008\0000749_z05_x06.jpg,5,6
03_09_2020_1\output_0040\0000050_z03_x07.jpg,3,7
03_09_2020_1\output_0041\0000761_z04_x06.jpg,4,6
03_13_2020_0\output_0005\0000411_z08_x07.jpg,8,7
03_10_2020_1\output_0011\0000205_z01_x06.jpg,1,6
03_12_2020_0\output_0010\0000710_z07_x07.jpg,7,7
03_09_2020_1\output_0036\0000730_z05_x07.jpg,5,7
03_13_2020_0\output_0007\0000360_z07_x07.jpg,7,7
03_12_2020_0\output_0013\0000528_z07_x06.jpg,7,6
03_12_2020_0\output_0007\0000137_z08_x07.jpg,8,7
03_16_2020_0\output_0001\0000760_z07_x07.jpg,7,7
03_13_2020_0\output_0001\0000015_z07_x06.jpg,7,6
03_10_2020_1\output_0009\0000159_z04_x06.jpg,4,6
03_10_2020_1\output_0006\0000861_z05_x06.jpg,5,6
03_06_2020_0\output_0005\0000714_z06_x06.jpg,6,6
JetBot\2021-10-08-20-32\0002733_z08_x07.jpg,8,7
03_06_2020_0\output_0003\0000383_z05_x07.jpg,5,7
03_13_2020_1\output_0007\0000279_z05_x07.jpg,5,7
03_09_2020_1\output_0013\0000085_z00_x06.jpg,0,6
JetBot\2021-10-08-20-32\0002018_z05_x07.jpg,5,7
03_09_2020_1\output_0039\0000416_z03_x07.jpg,3,7
03_13_2020_0\output_0003\0000128_z07_x07.jpg,7,7
03_12_2020_0\output_0009\0000495_z08_x07.jpg,8,7
03_13_2020_1\output_0010\0000246_z05_x06.jpg,5,6
03_06_2020_0\output_0003\0001131_z05_x06.jpg,5,6
03_12_2020_0\output_0011\0000202_z08_x06.jpg,8,6
03_13_2020_1\output_0006\0000165_z02_x07.jpg,2,7
03_09_2020_1\output_0043\0000679_z02_x07.jpg,2,7
03_16_2020_0\output_0001\0000964_z05_x07.jpg,5,7
03_16_2020_0\output_0004\0000883_z07_x06.jpg,7,6
03_09_2020_1\output_0039\0000553_z02_x07.jpg,2,7
03_12_2020_0\output_0000\0000803_z07_x06.jpg,7,6
03_09_2020_1\output_0037\0000238_z01_x07.jpg,1,7
03_13_2020_0\output_0001\0000202_z08_x06.jpg,8,6
03_12_2020_0\output_0004\0000022_z07_x06.jpg,7,6
03_06_2020_0\output_0006\0000731_z02_x07.jpg,2,7
03_13_2020_1\output_0002\0000832_z02_x07.jpg,2,7
03_09_2020_1\output_0035\0000078_z05_x07.jpg,5,7
03_09_2020_1\output_0038\0000354_z02_x07.jpg,2,7
03_12_2020_0\output_0014\0000303_z06_x07.jpg,6,7
03_16_2020_0\output_0001\0000570_z07_x07.jpg,7,7
03_09_2020_1\output_0025\0000658_z04_x07.jpg,4,7
03_09_2020_1\output_0040\0000297_z05_x07.jpg,5,7
03_12_2020_0\output_0012\0000008_z06_x07.jpg,6,7
03_12_2020_0\output_0007\0000135_z08_x07.jpg,8,7
03_12_2020_0\output_0003\0000878_z09_x06.jpg,9,6
03_12_2020_0\output_0010\0000371_z07_x07.jpg,7,7
03_12_2020_0\output_0004\0000414_z08_x06.jpg,8,6
03_09_2020_1\output_0022\0000128_z03_x06.jpg,3,6
03_16_2020_0\output_0004\0000436_z07_x06.jpg,7,6
03_10_2020_1\output_0006\0000468_z01_x06.jpg,1,6
03_09_2020_1\output_0021\0000257_z02_x07.jpg,2,7
03_10_2020_1\output_0010\0000382_z03_x06.jpg,3,6
03_13_2020_1\output_0008\0000451_z02_x06.jpg,2,6
03_16_2020_0\output_0006\0000546_z05_x06.jpg,5,6
03_16_2020_0\output_0003\0000597_z05_x06.jpg,5,6
03_12_2020_0\output_0004\0000988_z06_x07.jpg,6,7
03_10_2020_1\output_0011\0000442_z05_x06.jpg,5,6
03_13_2020_1\output_0002\0000818_z04_x07.jpg,4,7
03_12_2020_0\output_0012\0000127_z07_x06.jpg,7,6
03_09_2020_1\output_0030\0000295_z04_x07.jpg,4,7
03_13_2020_1\output_0013\0000222_z02_x06.jpg,2,6
03_13_2020_1\output_0008\0000562_z05_x06.jpg,5,6
03_10_2020_1\output_0010\0000939_z02_x06.jpg,2,6
03_09_2020_1\output_0040\0000497_z03_x07.jpg,3,7
03_10_2020_1\output_0004\0000455_z02_x06.jpg,2,6
03_16_2020_0\output_0001\0000479_z05_x07.jpg,5,7
03_12_2020_0\output_0013\0001042_z09_x06.jpg,9,6
03_06_2020_0\output_0005\0000438_z07_x06.jpg,7,6
03_09_2020_1\output_0036\0000245_z02_x07.jpg,2,7
03_10_2020_1\output_0013\0000505_z05_x06.jpg,5,6
03_10_2020_1\output_0007\0000438_z04_x06.jpg,4,6
03_12_2020_0\output_0015\0000891_z09_x07.jpg,9,7
03_13_2020_1\output_0012\0000603_z05_x07.jpg,5,7
03_16_2020_0\output_0003\0000435_z05_x06.jpg,5,6
03_12_2020_0\output_0013\0000928_z09_x07.jpg,9,7
03_10_2020_1\output_0005\0000686_z03_x06.jpg,3,6
03_13_2020_0\output_0005\0000146_z07_x07.jpg,7,7
03_16_2020_0\output_0004\0000133_z06_x07.jpg,6,7
03_10_2020_1\output_0000\0000317_z03_x06.jpg,3,6
03_12_2020_0\output_0008\0000443_z06_x07.jpg,6,7
03_13_2020_1\output_0006\0000034_z02_x07.jpg,2,7
03_09_2020_1\output_0014\0000533_z05_x06.jpg,5,6
03_10_2020_1\output_0003\0000067_z03_x06.jpg,3,6
03_09_2020_1\output_0013\0000187_z02_x06.jpg,2,6
03_12_2020_0\output_0011\0000236_z07_x07.jpg,7,7
03_09_2020_1\output_0031\0000883_z05_x06.jpg,5,6
03_13_2020_1\output_0008\0000428_z05_x07.jpg,5,7
03_09_2020_1\output_0031\0000106_z04_x07.jpg,4,7
03_10_2020_1\output_0013\0000796_z03_x06.jpg,3,6
03_06_2020_0\output_0003\0000185_z10_x07.jpg,10,7
03_13_2020_0\output_0006\0000627_z05_x07.jpg,5,7
03_09_2020_1\output_0043\0000340_z02_x07.jpg,2,7
03_10_2020_1\output_0000\0000583_z03_x06.jpg,3,6
03_13_2020_0\output_0004\0000409_z07_x06.jpg,7,6
03_10_2020_1\output_0014\0000400_z01_x06.jpg,1,6
03_09_2020_1\output_0034\0000038_z02_x06.jpg,2,6
03_13_2020_1\output_0003\0000221_z03_x07.jpg,3,7
03_10_2020_1\output_0000\0000234_z04_x06.jpg,4,6
03_06_2020_0\output_0008\0001382_z02_x07.jpg,2,7
03_12_2020_0\output_0014\0001070_z07_x07.jpg,7,7
03_09_2020_1\output_0039\0000207_z02_x06.jpg,2,6
03_09_2020_1\output_0037\0000249_z05_x06.jpg,5,6
03_13_2020_1\output_0006\0000820_z05_x07.jpg,5,7
03_06_2020_0\output_0006\0001292_z01_x07.jpg,1,7
03_12_2020_0\output_0006\0000648_z05_x06.jpg,5,6
03_13_2020_1\output_0005\0000021_z01_x06.jpg,1,6
03_06_2020_0\output_0011\0001250_z01_x08.jpg,1,8
03_13_2020_0\output_0001\0000447_z08_x07.jpg,8,7
03_09_2020_1\output_0024\0000647_z02_x07.jpg,2,7
03_09_2020_1\output_0025\0000505_z05_x07.jpg,5,7
03_09_2020_1\output_0022\0000067_z04_x06.jpg,4,6
03_16_2020_0\output_0002\0000386_z07_x06.jpg,7,6
03_13_2020_1\output_0013\0000849_z04_x07.jpg,4,7
03_13_2020_1\output_0003\0000308_z04_x06.jpg,4,6
03_10_2020_1\output_0013\0000426_z03_x06.jpg,3,6
03_09_2020_1\output_0035\0000030_z00_x06.jpg,0,6
03_09_2020_1\output_0040\0000032_z04_x07.jpg,4,7
03_06_2020_0\output_0008\0000809_z05_x07.jpg,5,7
03_06_2020_0\output_0009\0000432_z04_x07.jpg,4,7
03_12_2020_0\output_0008\0000600_z07_x07.jpg,7,7
03_06_2020_0\output_0008\0000407_z02_x07.jpg,2,7
03_12_2020_0\output_0003\0000420_z05_x07.jpg,5,7
03_06_2020_0\output_0011\0001188_z02_x08.jpg,2,8
03_13_2020_1\output_0003\0000858_z05_x07.jpg,5,7
03_06_2020_0\output_0010\0000665_z05_x07.jpg,5,7
03_12_2020_0\output_0014\0000279_z07_x07.jpg,7,7
03_12_2020_0\output_0015\0000280_z06_x07.jpg,6,7
03_06_2020_0\output_0010\0000928_z10_x07.jpg,10,7
03_10_2020_1\output_0005\0000760_z04_x06.jpg,4,6
03_13_2020_1\output_0001\0000066_z05_x06.jpg,5,6
03_10_2020_1\output_0007\0000202_z04_x06.jpg,4,6
03_06_2020_0\output_0009\0000222_z02_x07.jpg,2,7
03_09_2020_1\output_0038\0000750_z05_x07.jpg,5,7
03_10_2020_1\output_0014\0000773_z03_x06.jpg,3,6
03_06_2020_0\output_0003\0000196_z09_x06.jpg,9,6
03_09_2020_1\output_0036\0000549_z05_x07.jpg,5,7
03_13_2020_0\output_0001\0000026_z06_x07.jpg,6,7
03_12_2020_0\output_0012\0000563_z05_x07.jpg,5,7
03_09_2020_1\output_0030\0000354_z00_x07.jpg,0,7
03_09_2020_1\output_0041\0000061_z01_x06.jpg,1,6
03_12_2020_0\output_0011\0000085_z05_x07.jpg,5,7
03_09_2020_1\output_0023\0000385_z03_x06.jpg,3,6
03_10_2020_1\output_0012\0000629_z04_x06.jpg,4,6
03_06_2020_0\output_0010\0000300_z08_x07.jpg,8,7
03_10_2020_1\output_0003\0000159_z05_x06.jpg,5,6
03_10_2020_1\output_0000\0000326_z02_x06.jpg,2,6
03_13_2020_0\output_0004\0000231_z06_x06.jpg,6,6
03_16_2020_0\output_0003\0000794_z08_x07.jpg,8,7
03_09_2020_1\output_0030\0000046_z05_x07.jpg,5,7
03_10_2020_1\output_0011\0000860_z02_x06.jpg,2,6
03_13_2020_1\output_0006\0000231_z05_x06.jpg,5,6
03_10_2020_1\output_0011\0001133_z05_x06.jpg,5,6
03_12_2020_0\output_0011\0000092_z07_x07.jpg,7,7
03_13_2020_1\output_0002\0000182_z03_x06.jpg,3,6
03_10_2020_1\output_0013\0000949_z05_x06.jpg,5,6
03_06_2020_0\output_0003\0000942_z06_x07.jpg,6,7
03_13_2020_0\output_0004\0000422_z08_x07.jpg,8,7
03_13_2020_1\output_0011\0000238_z02_x06.jpg,2,6
03_12_2020_0\output_0002\0000567_z09_x06.jpg,9,6
03_06_2020_0\output_0009\0000498_z00_x07.jpg,0,7
03_12_2020_0\output_0010\0000373_z08_x07.jpg,8,7
03_16_2020_0\output_0002\0000021_z05_x06.jpg,5,6
03_12_2020_0\output_0013\0001016_z08_x06.jpg,8,6
03_09_2020_1\output_0013\0000602_z05_x07.jpg,5,7
03_06_2020_0\output_0008\0001273_z03_x06.jpg,3,6
03_13_2020_0\output_0003\0000837_z06_x07.jpg,6,7
03_09_2020_1\output_0041\0000459_z02_x07.jpg,2,7
03_09_2020_1\output_0025\0000542_z05_x07.jpg,5,7
03_09_2020_1\output_0042\0000664_z03_x07.jpg,3,7
03_12_2020_0\output_0006\0000872_z05_x07.jpg,5,7
03_06_2020_0\output_0003\0000421_z08_x07.jpg,8,7
03_10_2020_1\output_0004\0000054_z05_x06.jpg,5,6
03_10_2020_1\output_0011\0000342_z01_x06.jpg,1,6
03_09_2020_1\output_0041\0000391_z02_x07.jpg,2,7
03_06_2020_0\output_0002\0000056_z07_x06.jpg,7,6
03_16_2020_0\output_0004\0000136_z05_x07.jpg,5,7
03_09_2020_1\output_0016\0000621_z03_x06.jpg,3,6
03_13_2020_1\output_0007\0000364_z01_x07.jpg,1,7
03_10_2020_1\output_0014\0000549_z05_x06.jpg,5,6
03_10_2020_1\output_0015\0000896_z01_x08.jpg,1,8
03_12_2020_0\output_0001\0000898_z07_x06.jpg,7,6
03_10_2020_1\output_0003\0000607_z01_x06.jpg,1,6
03_13_2020_1\output_0011\0000137_z05_x07.jpg,5,7
03_16_2020_0\output_0001\0000472_z08_x07.jpg,8,7
03_06_2020_0\output_0003\0001447_z05_x06.jpg,5,6
03_09_2020_1\output_0026\0000609_z01_x07.jpg,1,7
03_06_2020_0\output_0011\0001464_z02_x08.jpg,2,8
03_09_2020_1\output_0043\0000201_z05_x07.jpg,5,7
JetBot\2021-10-08-20-32\0002386_z02_x08.jpg,2,8
03_09_2020_1\output_0024\0000238_z00_x06.jpg,0,6
03_16_2020_0\output_0005\0000108_z08_x06.jpg,8,6
03_13_2020_0\output_0000\0000362_z06_x07.jpg,6,7
03_13_2020_0\output_0006\0000587_z08_x07.jpg,8,7
03_09_2020_1\output_0020\0000069_z02_x06.jpg,2,6
03_12_2020_0\output_0015\0000155_z07_x07.jpg,7,7
03_16_2020_0\output_0001\0000707_z08_x07.jpg,8,7
03_13_2020_1\output_0013\0000209_z02_x06.jpg,2,6
03_09_2020_1\output_0039\0000249_z05_x07.jpg,5,7
03_06_2020_0\output_0005\0001198_z06_x07.jpg,6,7
03_12_2020_0\output_0008\0000987_z06_x07.jpg,6,7
03_13_2020_1\output_0003\0000046_z00_x06.jpg,0,6
03_12_2020_0\output_0003\0000373_z08_x07.jpg,8,7
03_16_2020_0\output_0006\0000376_z07_x07.jpg,7,7
03_12_2020_0\output_0007\0000151_z06_x07.jpg,6,7
03_13_2020_0\output_0003\0000517_z09_x07.jpg,9,7
03_10_2020_1\output_0007\0000071_z03_x06.jpg,3,6
03_13_2020_1\output_0011\0000121_z04_x07.jpg,4,7
03_13_2020_0\output_0003\0000871_z08_x07.jpg,8,7
03_10_2020_1\output_0013\0000810_z02_x06.jpg,2,6
03_13_2020_1\output_0005\0000179_z02_x07.jpg,2,7
03_12_2020_0\output_0001\0000034_z07_x07.jpg,7,7
03_13_2020_0\output_0002\0000163_z09_x06.jpg,9,6
03_16_2020_0\output_0004\0000709_z05_x06.jpg,5,6
03_09_2020_1\output_0044\0000391_z04_x08.jpg,4,8
03_13_2020_1\output_0008\0000430_z02_x07.jpg,2,7
03_16_2020_0\output_0003\0000120_z08_x06.jpg,8,6
03_10_2020_1\output_0010\0000842_z02_x06.jpg,2,6
03_09_2020_1\output_0036\0000543_z03_x07.jpg,3,7
03_09_2020_1\output_0021\0000352_z04_x07.jpg,4,7
03_09_2020_1\output_0037\0000322_z05_x07.jpg,5,7
JetBot\2021-10-08-20-32\0000854_z05_x07.jpg,5,7
03_12_2020_0\output_0007\0000514_z09_x06.jpg,9,6
03_09_2020_1\output_0014\0000085_z00_x07.jpg,0,7
03_12_2020_0\output_0000\0000414_z08_x06.jpg,8,6
03_12_2020_0\output_0009\0000303_z07_x07.jpg,7,7
03_09_2020_1\output_0033\0000409_z05_x06.jpg,5,6
03_06_2020_0\output_0002\0000904_z10_x06.jpg,10,6
03_09_2020_1\output_0035\0000582_z03_x06.jpg,3,6
03_10_2020_1\output_0014\0000254_z03_x06.jpg,3,6
03_10_2020_1\output_0013\0000192_z00_x06.jpg,0,6
03_13_2020_1\output_0007\0000042_z02_x06.jpg,2,6
03_12_2020_0\output_0011\0000542_z06_x06.jpg,6,6
03_13_2020_1\output_0008\0000398_z02_x07.jpg,2,7
03_10_2020_1\output_0008\0000221_z01_x06.jpg,1,6
03_09_2020_1\output_0029\0000513_z04_x06.jpg,4,6
JetBot\2021-10-08-20-32\0000805_z04_x06.jpg,4,6
03_10_2020_1\output_0005\0000276_z00_x06.jpg,0,6
03_12_2020_0\output_0015\0000557_z07_x07.jpg,7,7
03_16_2020_0\output_0006\0000209_z07_x06.jpg,7,6
03_10_2020_1\output_0002\0000299_z02_x06.jpg,2,6
JetBot\2021-10-08-20-32\0001963_z08_x06.jpg,8,6
03_06_2020_0\output_0003\0000098_z05_x07.jpg,5,7
03_09_2020_1\output_0026\0000101_z05_x07.jpg,5,7
03_09_2020_1\output_0044\0000401_z04_x08.jpg,4,8
03_09_2020_1\output_0013\0000300_z01_x06.jpg,1,6
03_13_2020_0\output_0007\0000321_z05_x07.jpg,5,7
03_13_2020_0\output_0005\0000787_z06_x07.jpg,6,7
JetBot\2021-10-08-20-32\0002111_z05_x06.jpg,5,6
03_13_2020_1\output_0004\0000037_z02_x06.jpg,2,6
03_13_2020_0\output_0005\0000299_z08_x07.jpg,8,7
03_12_2020_0\output_0002\0000154_z10_x06.jpg,10,6
03_12_2020_0\output_0001\0000641_z05_x06.jpg,5,6
03_13_2020_1\output_0006\0000530_z04_x07.jpg,4,7
03_10_2020_1\output_0010\0000264_z00_x06.jpg,0,6
03_10_2020_1\output_0000\0000230_z04_x06.jpg,4,6
03_12_2020_0\output_0007\0000685_z10_x07.jpg,10,7
03_13_2020_0\output_0001\0000496_z07_x07.jpg,7,7
03_06_2020_0\output_0006\0001043_z05_x07.jpg,5,7
03_10_2020_1\output_0003\0000612_z04_x06.jpg,4,6
03_10_2020_1\output_0000\0000190_z05_x06.jpg,5,6
03_10_2020_1\output_0008\0000036_z00_x06.jpg,0,6
03_10_2020_1\output_0001\0000143_z05_x07.jpg,5,7
03_10_2020_1\output_0015\0000839_z05_x06.jpg,5,6
03_16_2020_0\output_0004\0000576_z07_x06.jpg,7,6
03_06_2020_0\output_0011\0000678_z05_x07.jpg,5,7
03_09_2020_1\output_0026\0000422_z05_x07.jpg,5,7
03_13_2020_0\output_0002\0000488_z07_x07.jpg,7,7
03_09_2020_1\output_0021\0000127_z01_x06.jpg,1,6
03_12_2020_0\output_0008\0000771_z05_x07.jpg,5,7
03_12_2020_0\output_0009\0000283_z08_x07.jpg,8,7
03_12_2020_0\output_0013\0001062_z08_x06.jpg,8,6
03_09_2020_1\output_0021\0000033_z01_x07.jpg,1,7
03_10_2020_1\output_0015\0000432_z01_x06.jpg,1,6
03_09_2020_1\output_0015\0000264_z00_x07.jpg,0,7
03_10_2020_1\output_0004\0000515_z05_x06.jpg,5,6
03_13_2020_1\output_0009\0000250_z01_x06.jpg,1,6
03_09_2020_1\output_0043\0000198_z04_x07.jpg,4,7
03_06_2020_0\output_0011\0001228_z05_x08.jpg,5,8
03_16_2020_0\output_0003\0000571_z07_x07.jpg,7,7
03_06_2020_0\output_0008\0001459_z01_x07.jpg,1,7
03_13_2020_1\output_0001\0000291_z03_x06.jpg,3,6
03_13_2020_1\output_0005\0000997_z02_x06.jpg,2,6
03_09_2020_1\output_0043\0000251_z01_x06.jpg,1,6
03_09_2020_1\output_0042\0000818_z05_x07.jpg,5,7
03_12_2020_0\output_0011\0000170_z06_x06.jpg,6,6
03_06_2020_0\output_0006\0000043_z00_x07.jpg,0,7
03_10_2020_1\output_0015\0000861_z01_x06.jpg,1,6
03_16_2020_0\output_0006\0000741_z07_x07.jpg,7,7
03_13_2020_1\output_0011\0000754_z02_x06.jpg,2,6
03_12_2020_0\output_0008\0000650_z05_x07.jpg,5,7
03_09_2020_1\output_0044\0000425_z03_x08.jpg,3,8
03_16_2020_0\output_0001\0000300_z07_x07.jpg,7,7
03_16_2020_0\output_0006\0000504_z06_x06.jpg,6,6
03_12_2020_0\output_0007\0000331_z08_x06.jpg,8,6
03_06_2020_0\output_0005\0000563_z09_x06.jpg,9,6
03_10_2020_1\output_0005\0000988_z03_x06.jpg,3,6
03_09_2020_1\output_0043\0000520_z01_x07.jpg,1,7
03_13_2020_1\output_0013\0000217_z04_x06.jpg,4,6
03_09_2020_1\output_0044\0000385_z01_x08.jpg,1,8
03_10_2020_1\output_0012\0000151_z05_x06.jpg,5,6
03_10_2020_1\output_0012\0000311_z02_x06.jpg,2,6
03_13_2020_1\output_0012\0000400_z03_x06.jpg,3,6
03_10_2020_1\output_0005\0000586_z02_x06.jpg,2,6
03_06_2020_0\output_0011\0001164_z05_x08.jpg,5,8
03_12_2020_0\output_0001\0000459_z06_x06.jpg,6,6
03_13_2020_1\output_0012\0000924_z05_x06.jpg,5,6
03_10_2020_1\output_0016\0000153_z03_x07.jpg,3,7
03_09_2020_1\output_0034\0000455_z01_x07.jpg,1,7
03_09_2020_1\output_0014\0000092_z00_x07.jpg,0,7
03_09_2020_1\output_0032\0001006_z05_x07.jpg,5,7
03_16_2020_0\output_0001\0000623_z06_x07.jpg,6,7
03_10_2020_1\output_0008\0001139_z01_x06.jpg,1,6
03_12_2020_0\output_0001\0000277_z09_x07.jpg,9,7
03_13_2020_0\output_0004\0000171_z07_x06.jpg,7,6
03_10_2020_1\output_0003\0000849_z02_x06.jpg,2,6
03_06_2020_0\output_0008\0000833_z00_x07.jpg,0,7
03_13_2020_1\output_0003\0000577_z02_x07.jpg,2,7
03_16_2020_0\output_0006\0000032_z06_x06.jpg,6,6
03_13_2020_1\output_0000\0000768_z02_x06.jpg,2,6
03_16_2020_0\output_0005\0000270_z05_x07.jpg,5,7
03_10_2020_1\output_0006\0000016_z05_x06.jpg,5,6
03_13_2020_1\output_0001\0000480_z02_x06.jpg,2,6
03_12_2020_0\output_0014\0000261_z09_x07.jpg,9,7
03_06_2020_0\output_0010\0000886_z05_x07.jpg,5,7
03_16_2020_0\output_0004\0000047_z06_x06.jpg,6,6
03_12_2020_0\output_0003\0000820_z05_x07.jpg,5,7
03_09_2020_1\output_0041\0000009_z04_x06.jpg,4,6
03_06_2020_0\output_0004\0000499_z05_x07.jpg,5,7
03_13_2020_1\output_0010\0000346_z04_x07.jpg,4,7
03_16_2020_0\output_0001\0000415_z07_x07.jpg,7,7
03_09_2020_1\output_0033\0000035_z04_x06.jpg,4,6
03_09_2020_1\output_0020\0000035_z05_x07.jpg,5,7
03_06_2020_0\output_0011\0001261_z00_x08.jpg,0,8
03_12_2020_0\output_0002\0000404_z05_x06.jpg,5,6
03_12_2020_0\output_0005\0000139_z08_x06.jpg,8,6
03_09_2020_1\output_0044\0000072_z05_x07.jpg,5,7
03_09_2020_1\output_0017\0000230_z00_x07.jpg,0,7
